scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Balaenoptera physalus,56.5138,-155.4812,2003-06-28T12:17:31,2003,6,28,1,HumanObservation,NMML Gulf of Alaska marine mammal survey 2003,Fin whale,70,6.54,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,58.615167,-148.944,2015-08-21T10:48:47,2015,8,21,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Fin whale,102,7.83,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,55.2215,-164.0138,2002-06-12T17:50:14,2002,6,12,2,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Fin whale,53,5.33,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,58.412802,-146.676308,2013-07-12T15:29:06,2013,7,12,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Fin whale,4573,7.91,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.3153,-154.8808,2003-06-30T10:39:36,2003,6,30,4,HumanObservation,NMML Gulf of Alaska marine mammal survey 2003,Fin whale,81,6.71,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,56.852167,-152.498833,2015-08-16T21:23:20,2015,8,16,4,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Fin whale,164,7.05,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.926222,-152.700212,2015-10-13T13:56,2015,10,13,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,120,6.68,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.925157,-152.722496,2019-09-27T12:06:15,2019,9,27,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,121,6.68,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,58.688755,-146.198062,2013-07-13T16:31:54,2013,7,13,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Fin whale,4516,8.08,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.984122,-152.510524,2014-09-20T14:38,2014,9,20,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,157,6.6,Fin Whale,Balaenoptera physalus
