scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,country,bathymetry,sst,species_common,species_scientific
Physeter macrocephalus,44.525333,-126.531,2024-08-10T10:40:43,2024,8,10,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,2905,12.85,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.44,-117.793333,2023-06-03T18:32:44,2023,6,3,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,643,17.53,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,32.289731,-121.740467,2004-07-20T18:04,2004,7,20,2,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - off effort,Sperm whale,,4103,15.69,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,37.534496,-123.607657,2001-05-15T19:03:00,2001,5,15,4,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,3284,12.92,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,39.326,-129.887667,2008-09-23T14:09:09,2008,9,23,1,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2008, Cruise 1635",Sperm whale,,4445,14.84,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,32.776667,-126.315,2001-11-18T15:56:40,2001,11,18,3,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2001, Cruise 1619",Sperm whale,,4349,16.87,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,35.731167,-122.269667,2018-08-28T18:14:35,2018,8,28,18,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Sperm whale,,2989,13.91,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,38.078,-127.032833,2005-09-02T16:23:04,2005,9,2,2,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1628",Sperm whale,,4461,14.33,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,43.204167,-128.518167,2005-08-23T12:20:05,2005,8,23,30,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1628",Sperm whale,,2973,13.23,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,38.1873283386,-122.9640808105,2008-03-16,2008,3,16,,PreservedSpecimen,,,USA,-52,11.55,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,38.3653,-128.5322,2014-09-28T17:01:35,2014,9,28,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,4740,14.73,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.8,-120.0,2003-07-30,2003,7,30,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,125,15.27,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.2038,-125.5788,2014-10-29T09:34:29,2014,10,29,1,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Sperm whale,,4419,16.5,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,34.229167,-119.756667,2023-08-11T13:38:34,2023,8,11,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,227,15.3,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,40.096333,-125.219667,2018-08-08T10:04:07,2018,8,8,4,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Sperm whale,,1663,12.61,Sperm Whale,Physeter macrocephalus
