scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,country,bathymetry,sst,species_common,species_scientific
Balaenoptera acutorostrata,36.379872,-121.953523,2005-05-08T15:36:30,2005,5,8,1,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Common minke whale,,92,12.9,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.322775,-122.962597,2023-06-11T11:38,2023,6,11,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,124,9.45,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.871769,-120.160143,2006-07-19T13:50,2006,7,19,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Common minke whale,,250,14.82,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,32.622833,-117.493333,2011-05-13T14:20:41,2011,5,13,1,HumanObservation,"SOCAL KB04, FZN1, FZN2 Marine Mammal Aerial Monitoring 2011-2012",Common minke whale,,1198,17.63,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.0443,-118.2745,2022-11-19T14:59,2022,11,19,1,HumanObservation,Cuvier's Beaked Whale and Fin Whale Surveys at the Southern California Offshore Anti-submarine Warfare Range (SOAR),Common minke whale,,1120,17.31,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.290017,-123.043481,2018-04-24T15:57:52,2018,4,24,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,166,9.43,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,32.999197,-117.630902,2013-03-26T14:57:32,2013,3,26,1,HumanObservation,SOCAL FZN4 Marine Mammal Aerial Monitoring 2013,Common minke whale,,797,17.73,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,35.096506,-120.7333,2006-05-11T12:52:24,2006,5,11,1,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Common minke whale,,46,13.43,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.136288,-122.88012,2024-08-14T12:54,2024,8,14,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,90,9.47,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,32.590333,-117.359333,2008-10-15T12:00:12,2008,10,15,1,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2008, Cruise 1635",Common minke whale,,181,17.63,Minke Whale,Balaenoptera acutorostrata
