scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Physeter macrocephalus,21.35517,-161.13033,2010-01-21T10:59:21,2010,1,21,2,HumanObservation,"PIFSC, Cetacean Survey, Hawaii-Guam Transit 2010, Cruise 1001, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4535,25.8,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.55608,-156.11411,2008-05-08T10:07,2008,5,8,8,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2544,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,21.889233,-159.006783,2011-02-26T12:15:22,2011,2,26,6,HumanObservation,HRC SCC Aerial Shoreline Surveys February 2011,Sperm whale,2988,25.38,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.77052,-156.239,2009-12-21T17:11:00,2009,12,21,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys December 2009,Sperm whale,3366,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.58413,-156.11306,2013-10-31T12:43,2013,10,31,32,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2334,25.63,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.85661,-156.42677,2014-12-03T09:51,2014,12,3,5,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,4788,25.55,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.47038,-156.03166,2003-10-20T09:40,2003,10,20,3,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2045,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,18.89233,-157.43217,2020-02-27T13:39:16,2020,2,27,17,HumanObservation,"PIFSC, Cetacean Survey, WHICEAS 2020, Cruise 2001, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4523,25.63,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,20.03013,-156.33229,2005-01-25T14:19,2005,1,25,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2164,25.51,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,20.45067,-155.7795,2017-07-31T14:43:39,2017,7,31,,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2017, Cruise 1705/1706, NOAA Pacific Islands Fisheries Science Center",Sperm whale,2292,25.26,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.34543,-156.0154,2004-11-18T10:36,2004,11,18,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2374,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.35908,-155.94191,2006-04-21T15:08,2006,4,21,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,1168,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,18.88117,-154.15317,2017-07-13T12:13:08,2017,7,13,1,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2017, Cruise 1705/1706, NOAA Pacific Islands Fisheries Science Center",Sperm whale,5363,25.16,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.86987,-156.21214,2008-04-25T12:23:00,2008,4,25,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys April-May 2008,Sperm whale,2083,25.58,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.26214,-156.10486,2003-10-15T09:55,2003,10,15,3,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,3474,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.25,-156.35,2003-09-05T09:51:40,2003,9,5,10,HumanObservation,"SWFSC Marine Mammal Survey, STAR 2003, Cruise 1623",Sperm whale,4266,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,20.14467,-157.3775,2020-01-29T10:20:12,2020,1,29,18,HumanObservation,"PIFSC, Cetacean Survey, WHICEAS 2020, Cruise 2001, NOAA Pacific Islands Fisheries Science Center",Sperm whale,3778,25.63,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.225259,-159.970459,2014-02-19T09:06:46,2014,2,19,1,HumanObservation,HRC KB26 SCC Aerial Surveys Feb 2014,Sperm whale,1830,25.42,Sperm Whale,Physeter macrocephalus
